strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
----iv-jivjl-,䛜,䛜 → 訁囟 | 囟 → 丿龱 | 龱 → 囗㐅,,,,,,
----iv-jj-i,䛂,䛂 → 訁升 | 升 → 丿廾,,,,,,
----iv-jj-i,訢,訢 → ⿰訁斤,xi1,6966.0,13.0,._.4oAT.//r,⿰訁斤,._.4oAT.//r
----iv-jj-ijj-iiv---jl,䜠,䜠 → 訁質 | 質 → 斦貝 | 斦 → 斤斤 | 貝 → 目八,,,,,,
----iv-jj-il,訴,訴 → ⿰訁斥 | 斥 → ⿸斤丶,su4,7511.0,6.0,._.4oAT.).//r.\,⿰訁⿸斤丶,._.4oAT.).//r.\
----iv-jj-iv-,詬,詬 → ⿰訁后 | 后 → ⿸𠂋口 | 𠂋 → ⿸𠂆一,gou4,8160.0,3.0,._.4oAT.).).//.-.o,⿰訁⿸⿸𠂆一口,._.4oAT.).).//.-.o
----iv-jji-vj-vjv,謕,謕 → 訁虒 | 虒 → 𠂆虎 | 𠂆 → 丿丿 | 虎 → 虍儿 | 虍 → ⺊乛丿七,,,,,,
----iv-jjj,䚲,䚲 → 訁彡,,,,,,
----iv-jjvl,䛀,䛀 → 訁反 | 反 → 𠂆又 | 𠂆 → 丿丿,,,,,,
----iv-jl--i-,詮,詮 → ⿰訁全 | 全 → ⿱人王,quan2,8161.0,3.0,._.4oAT.|.a.j-,⿰訁⿱人王,._.4oAT.|.a.j-
----iv-jl-iv-,詥,詥 → ⿰訁合 | 合 → ⿱亼口 | 亼 → ⿱人一,ge2,7742.0,4.0,._.4oAT.|.|.a.-.o,⿰訁⿱⿱人一口,._.4oAT.|.|.a.-.o
----iv-jl-iv-ii,論,論 → ⿰訁侖 | 侖 → ⿱亼𠕁 | 亼 → ⿱人一 | 𠕁 → ⿵冂卄,lun4,5326.0,135.0,._.4oAT.|.|.a.-.).n.h,⿰訁⿱⿱人一⿵冂卄,._.4oAT.|.|.a.-.).n.h
----iv-jl-iv-iv-iv-iv-ii,讑,讑 → 訁龠 | 龠 → 亼𠱠𠕁 | 亼 → 人一 | 𠱠 → 口口口 | 𠕁 → 冂卄,,,,,,
----iv-jl-iv-iv-jljl,譣,譣 → 訁僉 | 僉 → 亼吅从 | 亼 → 人一 | 吅 → 口口 | 从 → 人人,,,,,,
----iv-jl-ivilj-iv--,譮,譮 → 訁會 | 會 → 亼𭥴 | 亼 → 人一,,,,,,
----iv-jl-jivi,䛥,䛥 → 訁希 | 希 → 㐅布 | 布 → 𠂇巾 | 𠂇 → 一丿 | 巾 → 冂丨,,,,,,
----iv-jl-v,䚷,䚷 → 訁兮 | 兮 → 八丂 | 丂 → 一㇉,,,,,,
----iv-jl-v,訡,訡 → ⿰訁今 | 今 → ⿱亽㇇,yin2,9542.0,1.0,._.4oAT.|.a\.Vr,⿰訁⿱亽㇇,._.4oAT.|.a\.Vr
----iv-jl-vivii-,諡,諡 → ⿰訁㿽 | 㿽 → ⿱兮皿 | 兮 → ⿱八丂 | 丂 → ⿱一㇉,shi4,6687.0,21.0,._.4oAT.|.|.8.|.-.Vl-l.nh,⿰訁⿱⿱八⿱一㇉皿,._.4oAT.|.|.8.|.-.Vl-l.nh
----iv-jl-vjl,誂,誂 → 訁兆 | 兆 → 儿丷八,,,,,,
----iv-jliv-jv,說,說 → ⿰訁兌 | 兌 → ⿱八兄 | 兄 → ⿱口儿,shuo1,5011.0,182.0,._.4oAT.|.8.|.o.y,⿰訁⿱八⿱口儿,._.4oAT.|.8.|.o.y
----iv-jlj-ijliv-i-,譒,譒 → 訁番 | 番 → 釆田 | 釆 → 丿米 | 米 → 丷木,,,,,,
----iv-jlji,䚸,䚸 → 訁介 | 介 → 人丿丨,,,,,,
----iv-jljjj,診,診 → ⿰訁㐱 | 㐱 → ⿱𠆢彡,zhen3,5430.0,122.0,._.4oAT.|.aV./3,⿰訁⿱𠆢彡,._.4oAT.|.aV./3
----iv-jljl,訤,訤 → 訁爻 | 爻 → 㐅乂,,,,,,
----iv-jljliv-,䛦,䛦 → 訁谷 | 谷 → 八人口,,,,,,
----iv-jlljj--ivi,謡,謡 → ⿰訁⿱爫缶 | 爫 → ⿱丿𭕄 | 缶 → ⿱午凵 | 午 → ⿱𠂉十,yao2,9400.0,1.0,._.4oAT.|.|./.wV.|.|.fV.0.u,⿰訁⿱⿱丿𭕄⿱⿱𠂉十凵,._.4oAT.|.|./.wV.|.|.fV.0.u
----iv-jlljlvvl,䛵,䛵 → 訁受 | 受 → 爫冖又 | 爫 → 丿𭕄,,,,,,
----iv-jlvi,訩,訩 → 訁凶 | 凶 → 凵㐅,,,,,,
----iv-jlvj,訜,訜 → ⿰訁分 | 分 → ⿱八刀,bin1,9541.0,1.0,._.4oAT.|.8.v/,⿰訁⿱八刀,._.4oAT.|.8.v/
----iv-jlvl,訟,訟 → ⿰訁公 | 公 → ⿱八厶,song4,8397.0,2.0,._.4oAT.|.8.d,⿰訁⿱八厶,._.4oAT.|.8.d
----iv-jv-,訊,訊 → ⿰訁卂 | 卂 → ⿹⺄十,xun4,7058.0,11.0,._.4oAT.).V-l.0,⿰訁⿹⺄十,._.4oAT.).V-l.0
----iv-jv--,䚴,䚴 → 訁月,,,,,,
----iv-jv-jvv,詭,詭 → ⿰訁危 | 危 → ⿸厃㔾 | 厃 → ⿱⺈厂 | 㔾 → ⿺乚𠃌,gui3,8540.0,2.0,._.4oAT.).|.9V.r._.Vl-X.V-lX,⿰訁⿸⿱⺈厂⿺乚𠃌,._.4oAT.).|.9V.r._.Vl-X.V-lX
----iv-jv-viv-,䛡,䛡 → 訁𠯑 | 𠯑 → 氏口,,,,,,
----iv-jv-viv--,諙,諙 → 訁昏 | 昏 → 氏日,,,,,,
----iv-jviv-,䛇,䛇 → 訁㕣 | 㕣 → (,,,,,,
----iv-jviv-,訽,訽 → ⿰訁句 | 句 → ⿹勹口,gou4,8482.0,2.0,._.4oAT.).9.o,⿰訁⿹勹口,._.4oAT.).9.o
----iv-jviv--,詢,詢 → ⿰訁旬 | 旬 → ⿹勹日,xun2,7009.0,12.0,._.4oAT.).9.b,⿰訁⿹勹日,._.4oAT.).9.b
----iv-jviv-jvjviv-jv,䜛,䜛 → 訁免免 | 免 → ⺈口丿乚 | 免 → ⺈口丿乚,,,,,,
----iv-jvj--ivi,䛬,䛬 → 訁匋 | 匋 → 勹缶 | 缶 → 午凵 | 午 → 𠂉十,,,,,,
----iv-jvji-v--,諂,諂 → ⿰訁臽 | 臽 → ⿱⺈臼,chan3,9372.0,1.0,._.4oAT.|.9V.a-c-,⿰訁⿱⺈臼,._.4oAT.|.9V.a-c-
----iv-jvjl,䚿,䚿 → 訁欠 | 欠 → ⺈人,,,,,,
----iv-jvjlvi,詾,詾 → ⿰訁匈 | 匈 → ⿹勹凶 | 凶 → ⿶凵㐅,xiong1,6916.0,14.0,._.4oAT.).9.).u.xX,⿰訁⿹勹⿶凵㐅,._.4oAT.).9.).u.xX
----iv-jvl,訉,訉 → ⿰訁凡 | 凡 → ⿵几丶,fan4,6880.0,15.0,._.4oAT.)./V-i-.\,⿰訁⿵几丶,._.4oAT.)./V-i-.\
----iv-jvl,訋,訋 → ⿰訁勺 | 勺 → ⿹勹丶,diao4,8158.0,3.0,._.4oAT.).9.\,⿰訁⿹勹丶,._.4oAT.).9.\
----iv-jvl-,𧥺,𧥺 → 訁匀 | 匀 → 勹冫,,,,,,
----iv-jvl-vi-ijl,謋,謋 → 訁桀 | 桀 → 舛木 | 舛 → 夕㐄 | 㐄 → 十𠃋,,,,,,
----iv-jvliv-,詺,詺 → ⿰訁名 | 名 → ⿱夕口,ming4,9546.0,1.0,._.4oAT.|.9\.o,⿰訁⿱夕口,._.4oAT.|.9\.o
----iv-jvliv-,詻,詻 → ⿰訁各 | 各 → ⿱夂口,e4,8162.0,3.0,._.4oAT.|.9\X.o,⿰訁⿱夂口,._.4oAT.|.9\X.o
----iv-jvlj-ijl,諊,諊 → 訁匊 | 匊 → 勹米 | 米 → 丷木,,,,,,
----iv-jvljvl,誃,誃 → 訁多 | 多 → 夕夕,,,,,,
----iv-jvlvv,䛄,䛄 → 訁夗 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
----iv-jvv-v,䛌,䛌 → 訁包 | 包 → 勹巳 | 巳 → 乚コ,,,,,,
----iv-jvvijjvvij,謅,謅 → 訁芻 | 芻 → 勹屮勹屮 | 屮 → 凵丨 | 屮 → 凵丨,,,,,,
----iv-jvvl,設,設 → ⿰訁殳,she4,6384.0,35.0,._.4oAT.y4A,⿰訁殳,._.4oAT.y4A
----iv-jvvl,訯,訯 → 訁及 | 及 → ㇋丿乀,,,,,,
----iv-l--i-,註,註 → ⿰訁主 | 主 → ⿱丶王,zhu4,9778.0,1.0,._.4oAT.|.\.j-,⿰訁⿱丶王,._.4oAT.|.\.j-
----iv-l-iv-ijl,諒,諒 → ⿰訁京 | 京 → ⿳亠口小,liang4,9548.0,1.0,._.4oAT.||.=V.o.w,⿰訁⿳亠口小,._.4oAT.||.=V.o.w
----iv-l-iv-iv---ii-jvjl,讓,讓 → ⿰訁襄 | 襄 → ⿳亠⿱吅𠀎𧘇 | 吅 → ⿰口口 | 𠀎 → ⿱井一 | 井 → ⿻一廾,rang4,6366.0,36.0,._.4oAT.||.=V.|._.o.o.|.).-.hX.-.yaV,⿰訁⿳亠⿱⿰口口⿱⿻一廾一𧘇,._.4oAT.||.=V.|._.o.o.|.).-.hX.-.yaV
----iv-l-iv-iviv-,謞,謞 → 訁高 | 高 → 亠口冋 | 冋 → 冂口,,,,,,
----iv-l-iv-lv-i,諪,諪 → 訁亭 | 亭 → 亠口冖丁 | 丁 → 一亅,,,,,,
----iv-l-iv-lv-jvjjjl,譹,譹 → 訁豪 | 豪 → 亠口冖豕,,,,,,
----iv-l-iv-vi-,諄,諄 → ⿰訁享 | 享 → ⿳亠口子 | 子 → ⿻了一,zhun1,7882.0,4.0,._.4oAT.||.=V.o.).vlX.-,⿰訁⿳亠口⿻了一,._.4oAT.||.=V.o.).vlX.-
----iv-l-iv-vi-j-jl,譈,譈 → 訁敦 | 敦 → 享攵 | 享 → 亠口子 | 子 → 了一 | 了 → 乛亅 | 攵 → 𠂉乂,,,,,,
----iv-l-iviv--iv---,譠,譠 → 訁亶 | 亶 → 㐭旦 | 㐭 → 亠回 | 回 → 囗口 | 旦 → 日一,,,,,,
----iv-l-j-ii-llll,謶,謶 → 訁庶 | 庶 → 广廿灬 | 广 → 丶厂 | 廿 → 卄一,,,,,,
----iv-l-ji-iv-,䛸,䛸 → 訁店 | 店 → 广占 | 广 → 丶厂 | 占 →  /,,,,,,
----iv-l-jl--ii-jvjl,譲,譲 → 訁㐮 | 㐮 → 六𠀎𧘇 | 六 → 亠八 | 𠀎 → 井一 | 井 → 一廾,,,,,,
----iv-l-jljl,詨,詨 → ⿰訁交 | 交 → ⿱亠父 | 父 → ⿱八乂,xiao4,8483.0,2.0,._.4oAT.|.=V.|.8.x,⿰訁⿱亠⿱八乂,._.4oAT.|.=V.|.8.x
----iv-l-jljl-i,誶,誶 → 訁卒 | 卒 → 𠅃十 | 𠅃 → 亠从 | 从 → 人人,,,,,,
----iv-l-lj--i,䛨,䛨 → 訁辛 | 辛 → 立十 | 立 → 亠䒑,,,,,,
----iv-l-lj-iv--,諳,諳 → 訁音 | 音 → 立日 | 立 → 亠䒑,,,,,,
----iv-l-lj-iv--lvll,譩,譩 → 訁意 | 意 → 音心 | 音 → 立日 | 立 → 亠䒑,,,,,,
----iv-l-ljiv-iiv-,謫,謫 → 訁啇 | 啇 → 亠丷冂古 | 古 → 十口,,,,,,
----iv-l-ljlvivi,諦,諦 → ⿰訁帝 | 帝 → ⿱⿳亠丷冖巾 | 巾 → ⿻冂丨,di4,9550.0,1.0,._.4oAT.|.||.=V.8V.nV.).n.l,⿰訁⿱⿳亠丷冖⿻冂丨,._.4oAT.|.||.=V.8V.nV.).n.l
----iv-l-vjjl,該,該 → ⿰訁亥 | 亥 → ⿳亠𠂈人 | 𠂈 → ⿰𠄌丿,gai1,6639.0,23.0,._.4oAT.||.=V._.Vl./.a,⿰訁⿳亠⿰𠄌丿人,._.4oAT.||.=V._.Vl./.a
----iv-l-vvl,詃,詃 → 訁玄 | 玄 → 亠幺 | 幺 → 𠃋厶,,,,,,
----iv-lj---i,詳,詳 → ⿰訁羊 | 羊 → ⿱䒑𰀁,xiang2,6616.0,24.0,._.4oAT.|.hVX.jXX,⿰訁⿱䒑𰀁,._.4oAT.|.hVX.jXX
----iv-lj-ijl,詸,詸 → ⿰訁米 | 米 → ⿻丷木,mi2,8653.0,2.0,._.4oAT.).8V.m,⿰訁⿻丷木,._.4oAT.).8V.m
----iv-lj-ijlv,䛧,䛧 → 訁𠃊米 | 米 → 丷木,,,,,,
----iv-ljiv-jv,説,説 → 訁兑 | 兑 → 丷兄 | 兄 → 口儿,shui4,9802.0,1.0,,,
----iv-ljjlljjl,談,談 → ⿰訁炎 | 炎 → ⿱火火,tan2,6773.0,18.0,._.4oAT.|.8a.8a,⿰訁⿱火火,._.4oAT.|.8a.8a
----iv-ljjlljjljvl,夑,夑 → 火言火夂,,,,,,
----iv-ljjlljjlljjl,爕,爕 → 火言火火,,,,,,
----iv-ljjlljjllvvj,䜎,䜎 → 訁勞 | 勞 → 𤇾力 | 𤇾 → 炏冖 | 炏 → 火火,,,,,,
----iv-ljjlljjlvl,燮,燮 → ⿱⿲火言火又,xie4,4433.0,353.0,.|.__.8a.4o.8a.4,⿱⿲火言火又,.|.__.8a.4o.8a.4
----iv-ljlili,詶,詶 → 訁州 | 州 → 丿丶丶川 | 川 → 丿丨丨,,,,,,
----iv-ll-i,䚵,䚵 → 訁斗 | 斗 → ㇀丨⺀,,,,,,
----iv-llv--ijl,誴,誴 → ⿰訁宗 | 宗 → ⿱宀示 | 宀 → ⿱丶冖,cong2,8352.0,2.0,._.4oAT.|.|.\.nV./vl\,⿰訁⿱⿱丶冖示,._.4oAT.|.|.\.nV./vl\
----iv-llv-i,詝,詝 → ⿰訁宁 | 宁 → ⿱宀丁 | 宀 → ⿱丶冖 | 丁 → ⿱一亅,zhu3,7760.0,4.0,._.4oAT.|.|.\.nV.|.-.lX,⿰訁⿱⿱丶冖⿱一亅,._.4oAT.|.|.\.nV.|.-.lX
----iv-llv-i-jl,諚,諚 → 訁定 | 定 → 宀𤴓 | 宀 → 丶冖 | 𤴓 → 一龰,,,,,,
----iv-llv-iv---,諠,諠 → ⿰訁宣 | 宣 → ⿱宀亘 | 宀 → ⿱丶冖 | 亘 → ⿱一旦 | 旦 → ⿱日一,xuan1,9726.0,1.0,._.4oAT.|.|.\.nV.|.-.|.b.-,⿰訁⿱⿱丶冖⿱一⿱日一,._.4oAT.|.|.\.nV.|.-.|.b.-
----iv-llviv---,誼,誼 → 訁宜 | 宜 → 宀且 | 宀 → 丶冖 | 且 → ⺝一,,,,,,
----iv-llvj-v,詫,詫 → ⿰訁宅,du4,8159.0,3.0,._.4oAT.in/v,⿰訁宅,._.4oAT.in/v
----iv-llvjlj-ijliv-i-,讅,讅 → 訁審 | 審 → 宀番 | 宀 → 丶冖 | 番 → 釆田 | 釆 → 丿米 | 米 → 丷木,,,,,,
----iv-llvjv,䛎,䛎 → 訁穴 | 穴 → 宀八 | 宀 → 丶冖,,,,,,
----iv-llvjv,詑,詑 → 訁它 | 它 → 宀匕 | 宀 → 丶冖,,,,,,
----iv-llvjvlvv,䛷,䛷 → 訁宛 | 宛 → 宀夗 | 宀 → 丶冖 | 夗 → 夕㔾 | 㔾 → 乚𠃌,,,,,,
----iv-lv--vjl,誏,誏 → 訁良 | 良 → 丶艮,,,,,,
----iv-lv-iv---i,諢,諢 → 訁軍 | 軍 → 冖車,,,,,,
----iv-lvjv,訦,訦 → 訁冘 | 冘 → 冖丿乚,,,,,,
----iv-lvll,悥,悥 → 言心,,,,,,
----iv-lvll,訫,訫 → 訁心,,,,,,
----iv-lvllj,䛑,䛑 → 訁必 | 必 → 心丿,,,,,,
----iv-lvlljivii-,謐,謐 → 訁𥁑,,,,,,
----iv-v--lvvl,誛,誛 → 訁𠬶 | 𠬶 → ⺕冖又,,,,,,
----iv-v--vjl,詪,詪 → ⿰訁艮,hen3,8987.0,1.0,._.4oAT.c-va,⿰訁艮,._.4oAT.c-va
----iv-v-iv-,詞,詞 → ⿰訁司 | 司 → ⿹𠃌𠮛 | 𠮛 → ⿱一口,ci2,6915.0,14.0,._.4oAT.).V-lX.|.-.o,⿰訁⿹𠃌⿱一口,._.4oAT.).V-lX.|.-.o
----iv-v-j-iiv-,䛯,䛯 → 訁居 | 居 → 尸古 | 古 → 十口,,,,,,
----iv-v-jl,訣,訣 → ⿰訁夬 | 夬 → ⿻𠃍大,jue2,8651.0,2.0,._.4oAT.).V-l.q,⿰訁⿻𠃍大,._.4oAT.).V-l.q
----iv-v-jl,訳,訳 → 訁尺 | 尺 → 尸㇏,,,,,,
----iv-v-jl-lj--i,謘,謘 → 訁屖 | 屖 → 尸辛 | 辛 → 立十 | 立 → 亠䒑,,,,,,
----iv-v-v,記,記 → ⿰訁己 | 己 → ⿳𠃍一乚,ji4,6481.0,30.0,._.4oAT.||.V-l.-.Vl-X,⿰訁⿳𠃍一乚,._.4oAT.||.V-l.-.Vl-X
----iv-v-v-v,䛉,䛉 → 訁民 | 民 → 𠄌コ𫠠 | 𫠠 → 一㇂,,,,,,
----iv-v-vi,訠,訠 → 訁引 | 引 → 弓丨 | 弓 → コ㇉,,,,,,
----iv-v-vji,䛍,䛍 → 訁弗 | 弗 → 丿丨弓 | 弓 → コ㇉,,,,,,
----iv-v-vl-vvl,誸,誸 → 訁弦 | 弦 → 弓玄 | 弓 → コ㇉ | 玄 → 亠幺 | 幺 → 𠃋厶,,,,,,
----iv-v-vlvll,誋,誋 → 訁忌 | 忌 → 己心 | 己 → 𠃍一乚,,,,,,
----iv-v-vv-v-ii-jl,譔,譔 → ⿰訁巽 | 巽 → ⿱⿰巳巳共 | 巳 → ⿺乚コ | 巳 → ⿺乚コ | 共 → ⿱龷八 | 龷 → ⿱艹一,quan2,8419.0,2.0,._.4oAT.|._._.Vl-X.c._.Vl-X.c.|.|.hV.-.8,⿰訁⿱⿰⿺乚コ⿺乚コ⿱⿱艹一八,._.4oAT.|._._.Vl-X.c._.Vl-X.c.|.|.hV.-.8
----iv-vi,訆,訆 → ⿰訁丩 | 丩 → ⿰𠄌丨,jiao4,8480.0,2.0,._.4oAT._.Vl.l,⿰訁⿰𠄌丨,._.4oAT._.Vl.l
----iv-vi-iv--vi,諱,諱 → ⿰訁韋 | 韋 → ⿳𫝀口㐄 | 㐄 → ⿻十𠃋,hui4,8658.0,2.0,._.4oAT.||.lc.o.).0.Vj-,⿰訁⿳𫝀口⿻十𠃋,._.4oAT.||.lc.o.).0.Vj-
----iv-viivl,詜,詜 → 訁𠬢,,,,,,
----iv-viv,訑,訑 → ⿰訁也 | 也 → ⿻乜丨 | 乜 → ⿻乛乚,yi2,8650.0,2.0,._.4oAT.).).V-.Vl-X.l,⿰訁⿻⿻乛乚丨,._.4oAT.).).V-.Vl-X.l
----iv-vj-vl,詉,,,,,,,
----iv-vjiv-,詔,詔 → 訁召 | 召 → 刀口,,,,,,
----iv-vjl,訒,訒 → ⿰訁刃,ren4,7282.0,8.0,._.4oAT.v/l,⿰訁刃,._.4oAT.v/l
----iv-vjl,訙,訙 → ⿰訁丸 | 丸 → ⿻九丶,xun4,7130.0,10.0,._.4oAT.).?.\,⿰訁⿻九丶,._.4oAT.).?.\
----iv-vjllvll,認,認 → ⿰訁忍 | 忍 → ⿱刃心,ren4,5792.0,82.0,._.4oAT.|.v/l.w,⿰訁⿱刃心,._.4oAT.|.v/l.w
----iv-vjlvjli-i-,䜀,䜀 → 訁刃刃止 | 刃 → 尸竹戈 | 戈 → 弋丿 | 刃 → 尸竹戈 | 戈 → 弋丿,,,,,,
----iv-vliv-,詒,詒 → ⿰訁台 | 台 → ⿱厶口,yi2,8797.0,2.0,._.4oAT.|.d.o,⿰訁⿱厶口,._.4oAT.|.d.o
----iv-vliv--i,誦,誦 → 訁甬 | 甬 → 龴用 | 用 → ⺆𰀁,,,,,,
----iv-vlj--jl,誒,誒 → 訁矣 | 矣 → 厶矢 | 矢 → 𠂉大,,,,,,
----iv-vll,訍,訍 → 訁叉 | 叉 → 又丶,,,,,,
----iv-vlvlvljljjj,謲,謲 → 訁參 | 參 → 厽㐱 | 厽 → 厶厸 | 厸 → 厶厶 | 㐱 → 𠆢彡,,,,,,
----iv-vlvlvlvl,諁,諁 → 訁叕 | 叕 → 㕛㕛 | 㕛 → 友 | 友 → 𠂇又 | 𠂇 → 一丿 | 㕛 → 友 | 友 → 𠂇又 | 𠂇 → 一丿,,,,,,
----iv-vv-jvjjjl,䛹,䛹 → 訁彖 | 彖 → 彑𧰨 | 彑 → 𠃋㇇一,,,,,,
----iv-vvlvj,詏,詏 → 訁幼 | 幼 → 幺力 | 幺 → 𠃋厶,,,,,,
----iv-vvviv---ijl,䜈,,,,,,,
---i---iv--,彗,彗 → ⿱⿰丰丰𫜹 | 丰 → ⿻三丨 | 丰 → ⿻三丨 | 𫜹 → ⿼コ一,hui4,3591.0,926.0,.|._.).3.l.).3.l.⿼.c.-,⿱⿰⿻三丨⿻三丨⿼コ一,.|._.).3.l.).3.l.⿼.c.-
---i---iv--ljjl,熭,熭 → 彗火 | 彗 → 丰丰𫜹 | 丰 → 三丨 | 丰 → 三丨 | 𫜹 → コ一,,,,,,
---i-v,匡,匡 → ⿷匚王,kuang1,3260.0,1378.0,.).-v.j-,⿷匚王,.).-v.j-
---i-vjl,㦱,㦱 → 戈一土 | 戈 → 弋丿,,,,,,
---i-vvi,邼,邼 → ⿰匡阝 | 匡 → ⿷匚王,kuang1,8682.0,2.0,._.).-v.j-.vvi,⿰⿷匚王阝,._.).-v.j-.vvi
---i-vvj,劻,劻 → 匡力 | 匡 → 匚王,,,,,,
---ijl--i-iv---jl,耫,耫 → 耒責 | 耒 → 一未 | 未 → 一木 | 責 → 龶貝 | 貝 → 目八,,,,,,
---ijl--ii-iv-i-,耩,耩 → ⿰耒冓 | 冓 → ⿱𠀎冉 | 𠀎 → ⿱井一 | 井 → ⿻一廾 | 冉 → ⿻冂土,jiang3,7319.0,7.0,._.=m.|.|.).-.hX.-.).n.t,⿰耒⿱⿱⿻一廾一⿻冂土,._.=m.|.|.).-.hX.-.).n.t
---ijl--ji,耕,耕 → ⿰耒井 | 井 → ⿻一廾,geng1,1850.0,8525.0,._.=m.).-.hX,⿰耒⿻一廾,._.=m.).-.hX
---ijl--vl,耘,耘 → ⿰耒云 | 云 → ⿱二厶,yun2,4035.0,560.0,._.=m.|.=.d,⿰耒⿱二厶,._.=m.|.=.d
---ijl-i,耓,耓 → 耒丁 | 耒 → 一未 | 未 → 一木 | 丁 → 一亅,,,,,,
---ijl-ii-iv--,耤,耤 → 耒昔 | 耒 → 一未 | 未 → 一木 | 昔 → 龷日 | 龷 → 艹一,,,,,,
---ijl-ii-iv---jl,䎯,䎯 → 耒𦰩 | 耒 → 一未 | 未 → 一木 | 𦰩 → 艹口夫 | 夫 → 二人,,,,,,
---ijl-ii-iv--jj-i,䎰,䎰 → 耒斮 | 耒 → 一未 | 未 → 一木 | 斮 → 昔斤 | 昔 → 龷日 | 龷 → 艹一,,,,,,
---ijl-iilvvj,耢,耢 → ⿰耒劳 | 劳 → ⿱𫇦力 | 𫇦 → ⿱艹冖,lao4,7749.0,4.0,._.=m.|.|.hV.nV.v/X,⿰耒⿱⿱艹冖力,._.=m.|.|.hV.nV.v/X
---ijl-j--vjl-il,耨,耨 → ⿰耒辱 | 辱 → ⿱辰寸 | 寸 → ⿹𬺰丶,nou4,4899.0,203.0,._.=m.|.r=va.).0X.\,⿰耒⿱辰⿹𬺰丶,._.=m.|.r=va.).0X.\
---ijl-jiv--lvlvlljvl,耰,耰 → ⿰耒憂 | 憂 → ⿱㥑夂 | 㥑 → ⿱⿳丆⺝冖心,you1,8409.0,2.0,._.=m.|.|.||.rXX.gA.nV.w.9\X,⿰耒⿱⿱⿳丆⺝冖心夂,._.=m.|.|.||.rXX.gA.nV.w.9\X
---ijl-jliv--v,䎨,䎨 → 耒奄 | 耒 → 一未 | 未 → 一木 | 奄 → 大电 | 电 → 日乚,,,,,,
---ijlijlj,耖,耖 → ⿰耒少 | 少 → ⿱𡭔丿 | 𡭔 → ⿻丨八,chao4,7181.0,9.0,._.=m.|.).l.8. .o.r. .__./.l.\./,⿰耒⿱⿻丨八丿,._.=m.|.).l.8. .o.r. .__./.l.\./
---ijliv---,耝,耝 → 耒且 | 耒 → 一未 | 未 → 一木 | 且 → ⺝一,,,,,,
---ijliv----il,䎪,䎪 → 耒㝵 | 耒 → 一未 | 未 → 一木 | 㝵 → 旦寸 | 旦 → 日一 | 寸 → 𬺰丶 | 𬺰 → 一亅,,,,,,
---ijliv---vj,耡,耡 → ⿰耒助 | 助 → ⿰且力 | 且 → ⿱⺝一,chu2,9242.0,1.0,._.=m._.|.gA.-.v/X,⿰耒⿰⿱⺝一力,._.=m._.|.gA.-.v/X
---ijliv--iv-ivj-,耬,,,,,,,
---ijlivii--i-vl,䎬,䎬 → 耒罢 | 耒 → 一未 | 未 → 一木 | 罢 → 罒去 | 去 → 土厶,,,,,,
---ijlj--v,耗,耗 → ⿰耒毛,hao4,1730.0,9999.0,._.=m./-7,⿰耒毛,._.=m./-7
---ijljjvll,㼍,㼍 → 耒瓜 | 耒 → 一未 | 未 → 一木 | 瓜 → 𠂆厶㇏ | 𠂆 → 丿丿,,,,,,
---ijljl-iv-,耠,耠 → 耒合 | 耒 → 一未 | 未 → 一木 | 合 → 亼口 | 亼 → 人一,,,,,,
---ijljl-iv-ii,耣,耣 → 耒侖 | 耒 → 一未 | 未 → 一木 | 侖 → 亼𠕁 | 亼 → 人一 | 𠕁 → 冂卄,,,,,,
---ijljljliv-,䎥,䎥 → 耒谷 | 耒 → 一未 | 未 → 一木 | 谷 → 八人口,,,,,,
---ijll-lj-iv-,䎧,䎧 → 耒咅 | 耒 → 一未 | 未 → 一木 | 咅 → 立口 | 立 → 亠䒑,,,,,,
---ijll-ljiv-iiv-,䎮,䎮 → 耒啇 | 耒 → 一未 | 未 → 一木 | 啇 → 亠丷冂古 | 古 → 十口,,,,,,
---ijllj-ijlvj-,耧,耧 → ⿰耒娄 | 娄 → ⿱米女 | 米 → ⿻丷木,lou2,7069.0,10.0,._.=m.|.).8V.m./j-,⿰耒⿱⿻丷木女,._.=m.|.).8V.m./j-
---ijlljjlljjl,䎦,䎦 → 耒炎 | 耒 → 一未 | 未 → 一木 | 炎 → 火火,,,,,,
---ijlljjlljjllvvj,耮,耮 → ⿰耒勞 | 勞 → ⿱𤇾力 | 𤇾 → ⿱炏冖 | 炏 → ⿰火火,lao4,9100.0,1.0,._.=m.|.|._.8a.8a.nV.v/X,⿰耒⿱⿱⿰火火冖力,._.=m.|.|._.8a.8a.nV.v/X
---ijlv-jviv-,䎤,䎤 → 耒局 | 耒 → 一未 | 未 → 一木 | 局 → 尸𠃌口,,,,,,
---ijlvi-,耔,耔 → 耒子 | 耒 → 一未 | 未 → 一木 | 子 → 了一 | 了 → 乛亅,,,,,,
---ijlvi-v,耙,耙 → ⿰耒巴 | 巴 → ⿴巳丨 | 巳 → ⿺乚コ,ba4/pa2,4126.0,506.0,._.=m.)._.Vl-X.c.l,⿰耒⿴⿺乚コ丨,._.=m.)._.Vl-X.c.l
---ijlvjiv-,耞,耞 → 耒加 | 耒 → 一未 | 未 → 一木 | 加 → 力口,,,,,,
