strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
ll-l-vjjlll,淤,淤 → ⿰氵於 | 於 → ⿰方仒  | 仒 → ⿱𠆢⺀,yu1,3576.0,943.0,._.3A._.=/v.|.aV.\\,⿰氵⿰方⿱𠆢⺀,._.3A._.=/v.|.aV.\\
ll-l-vljvl-,淯,淯 → 氵育 | 育 → 亠厶⺝,,,,,,
ll-l-vljvl-j-jl,澈,澈 → ⿰氵⿰育攵 | 育 → ⿳亠厶⺝ | 攵 → ⿱𠂉乂,che4,3365.0,1202.0,._.3A._.||.=V.d.gA.|.fV.x,⿰氵⿰⿳亠厶⺝⿱𠂉乂,._.3A._.||.=V.d.gA.|.fV.x
ll-l-vvjjil---i-,澭,澭 → 氵雍 | 雍 → 亠𱁈 | 𱁈 → 乡隹 | 乡 → 𠃋𠃋丿,,,,,,
ll-l-vvl,泫,泫 → ⿰氵玄 | 玄 → ⿱亠幺 | 幺 → ⿽𠃋厶,xuan4,5843.0,75.0,._.3A.|.=V.⿽.Vj-.d,⿰氵⿱亠⿽𠃋厶,._.3A.|.=V.⿽.Vj-.d
ll-l-vvliv-i-,滀,滀 → 氵畜 | 畜 → 玄田 | 玄 → 亠幺 | 幺 → 𠃋厶,,,,,,
ll-liv--i-,润,润 → ⿰氵闰 | 闰 → ⿵门王,run4,1369.0,16922.0,._.3A.).\nS.j-,⿰氵⿵门王,._.3A.).\nS.j-
ll-liv-ivlj-ijl,澜,澜 → ⿰氵阑 | 阑 → ⿵门柬 | 柬 → ⿻束丷 | 束 → ⿻木口,lan2,2789.0,2539.0,._.3A.).\nS.).).m.o.8V,⿰氵⿵门⿻⿻木口丷,._.3A.).\nS.).).m.o.8V
ll-lj---,㳕,㳕 → 氵兰 | 兰 → 丷三,,,,,,
ll-lj---i,洋,洋 → ⿰氵羊 | 羊 → ⿱䒑𰀁,yang2,803.0,43692.0,._.3A.|.hVX.jXX,⿰氵⿱䒑𰀁,._.3A.|.hVX.jXX
ll-lj---jv,㳾,㳾 → 氵羌 | 羌 → ⺶乚 | ⺶ → 䒑𰀁,,,,,,
ll-lj--i,泮,泮 → ⿰氵半 | 半 → ⿻丷𰀁,pan4,5962.0,67.0,._.3A.).8V.jXX,⿰氵⿻丷𰀁,._.3A.).8V.jXX
ll-lj--i--jl,渼,渼 → 氵美 | 美 → 𦍌大 | 𦍌 → 䒑土,,,,,,
ll-lj--i-j-i-,溠,溠 → 氵差 | 差 → 𦍌丿工 | 𦍌 → 䒑土,,,,,,
ll-lj--i-jllv--vjl,瀁,瀁 → 氵養 | 養 → 𦍌食 | 𦍌 → 䒑土 | 食 → 人良 | 良 → 丶艮,,,,,,
